component,carrier,bus_carrier,energiy_MWh
Generator,Combined-Cycle Gas,AC,99818879.94873
Generator,Offshore Wind (AC),AC,734.46178
Generator,Offshore Wind (DC),AC,655.41042
Generator,Offshore Wind (Floating),AC,409.77984
Generator,Onshore Wind,AC,407763336.8455
Generator,Open-Cycle Gas,AC,25.45594
Generator,Run of River,AC,119759761.24315
Generator,Solar,AC,14640002.04915
Generator,biomass,AC,57141296.25685
Generator,coal,AC,410894938.54166
Generator,geothermal,AC,516548.07269
Generator,lignite,AC,292239991.84624
Generator,nuclear,AC,546410744.88623
Generator,oil,AC,57.90786
Generator,solar-hsat,AC,477381773.36757
Line,AC,AC,-6209334.45916
Link,H2 electrolysis,AC,-1068.41116
Link,H2 electrolysis,Hydrogen Storage,722.56647
Link,H2 fuel cell,AC,361.30018
Link,H2 fuel cell,Hydrogen Storage,-722.60036
Link,battery charger,AC,-294554.38176
Link,battery charger,Battery Storage,288603.17473
Link,battery discharger,AC,282772.2085
Link,battery discharger,Battery Storage,-288603.17677
Load,-,AC,-2666879947.93211
StorageUnit,Pumped Hydro Storage,AC,-21219097.23899
StorageUnit,Reservoir & Dam,AC,267751713.17262
Store,Battery Storage,Battery Storage,0.00205
Store,Hydrogen Storage,Hydrogen Storage,0.03389
