snapshot,renewable,fossil,nuclear,water-power,Gas
2019-01-06,83526.84512059759,85605.60519043762,64528.451313393954,7424.682981420716,35800.08129687193
2019-01-13,113607.6373878501,87535.43859226795,63590.85415787394,7516.660127332267,33854.56107524599
2019-01-20,97975.13414601528,88940.95456812644,64516.10035764487,8555.61636219453,39502.17078067667
2019-01-27,82436.36644637122,89481.83808861498,64338.61242315784,7669.538336074304,53031.40565125273
2019-02-03,76117.24809339733,89965.16154141977,64845.39151770778,9081.030339453828,51338.91320560845
2019-02-10,133192.44108546988,85309.95593882086,63419.62268376284,10554.134255135517,18723.794580303176
2019-02-17,120777.44849858282,84604.39146268774,63457.97794174914,9287.918907000012,20852.662634399792
2019-02-24,114885.03923616084,87156.43688418297,64027.09810631658,8755.534948707598,16172.872004262013
2019-03-03,103718.9920759578,83129.86674193009,62520.07597422231,9796.83712168428,22530.990002766343
2019-03-10,141947.43197928244,80961.67278464987,63239.552507267814,11543.308092623329,3106.0026254557374
2019-03-17,157411.18913367795,74321.65407225346,59480.07954467494,13094.926937412049,2090.7514485339047
2019-03-24,119741.48114775236,79842.43479984078,61651.4067815588,13313.395561784775,11251.957769067076
2019-03-31,125963.04936320918,77114.32640135947,60582.36325163792,12629.465831855085,8842.093775948164
2019-04-07,98519.0669362599,87940.3534891112,64646.099606756645,13970.983084900834,7614.536560868782
2019-04-14,100396.17748352682,83849.34801075826,63832.580653702295,15627.64095881854,6355.630554722556
2019-04-21,117774.15273988772,72278.04939823154,63439.67058817648,13989.348592402679,1801.3673129323454
2019-04-28,119872.8663073687,68388.25336825264,61538.82060152403,18371.04899787957,922.6043786897674
2019-05-05,111116.42278079485,74353.13748349353,61211.45522479093,17092.507786597747,5147.388508863411
2019-05-12,104926.26241074828,81053.5473516945,63273.867627910324,15312.647924693789,5175.456783258154
2019-05-19,102690.18067776163,82888.84364950677,62496.72288827027,16424.12037479538,3027.3283335357455
2019-05-26,113083.76257118241,71315.91066940958,60159.76653987129,22892.616660782114,2125.4441665301683
2019-06-02,126902.43859784876,62090.74676713323,52252.44267392982,25754.93967784272,935.5965469233964
2019-06-09,128542.72278388159,62486.35087974386,55650.23095496839,26142.110610436743,1801.8051566724805
2019-06-16,118837.88626427647,67685.50981270244,58757.694770950206,26858.396517722984,1122.433930412557
2019-06-23,109797.09919993943,74824.82018281597,60777.78344852833,21208.1256478748,2748.1438018308318
2019-06-30,140128.95548585764,70144.06024322135,59507.541375856534,16796.50022632775,2471.459143888303
2019-07-07,144406.4554444498,66986.38196582922,62753.97778779996,12786.600788262047,2359.656732392944
2019-07-14,99632.18088719485,83869.68580343218,63041.88731635379,12144.008155681187,4302.053313888401
2019-07-21,115675.59506535763,77848.45812809409,61741.87714102365,11421.223144866119,2686.508277117256
2019-07-28,122106.75059509886,77917.4957081408,63812.035015406764,8922.620296214307,2093.0975036676923
2019-08-04,106564.46173467538,80204.03620888697,61030.02035349646,11750.682402676679,2013.7490535173692
2019-08-11,133074.87056234942,68247.70846084104,57136.8882746712,9444.539075635983,897.8353492792977
2019-08-18,126303.61249889845,66341.96487432197,55831.17207622681,11751.493612618695,1045.847391782307
2019-08-25,109827.76904561886,77634.04242462452,61876.87592676947,10835.76331782145,1020.6128588889745
2019-09-01,104709.3694751092,82329.3714063348,62832.540548903155,9464.984753532748,2551.2310883793652
2019-09-08,120148.96158368458,76868.03824126266,62578.532046267515,10278.1917556831,1210.701259270681
2019-09-15,122184.53787066022,73068.54382661913,61526.29996200047,10551.58004398073,2537.206585728161
2019-09-22,109475.06782813721,82016.52717055292,64231.93253445623,7382.325437593249,3989.305351123805
2019-09-29,114754.22594445043,78936.11996781267,61990.16548027623,9273.511422560088,1622.4084274162462
2019-10-06,103577.1059949785,84888.76354824442,63794.33865929147,9080.917113213203,2941.027838967015
2019-10-13,124094.19123862837,78404.024133072,62867.461402850204,10018.22936742097,1736.8810044961986
2019-10-20,91184.0757758365,88006.14809371335,64756.10072869143,10516.465486096286,6179.021813220701
2019-10-27,101024.84185168876,79815.43866109433,63305.14414913353,18144.113877525488,6404.491158770737
2019-11-03,70824.28353388591,89598.35150118305,64701.84243901993,12965.11232243728,15823.857800071879
2019-11-10,67277.70079857815,89847.74371347291,64897.134386730424,17903.7151172111,26409.447417532134
2019-11-17,89325.40054921649,89439.12899126248,64626.9194195471,13676.040275196921,23160.575655229248
2019-11-24,77184.34858956601,89965.11364754131,64897.13405534563,17525.761278223283,30007.648543917046
2019-12-01,69982.88108482154,89766.47626359285,64886.90182094073,18593.053155582773,30826.733368069927
2019-12-08,109964.12760158518,85608.74448340622,63389.21129354056,14379.84949024072,23424.575721775283
2019-12-15,113434.41831895898,86173.3190008546,63730.962145344296,13041.699306623867,19691.63258241651
2019-12-22,87361.9115959811,89569.55230587634,64527.40502809935,17605.129955788263,17737.25229125509
2019-12-29,79379.6119393499,87447.43525796535,64614.20001360764,20331.243163206836,4924.9527865830905
2020-01-05,106983.06568980093,82212.90452790902,64897.12845948626,15622.248960981351,11650.398697428058
